,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8396969696969697,0.8477029578351164,0.8243574051407588,0.8358672044678871,0.8991346844735446
Random Forest,0.9115151515151515,0.8634886240520043,0.9755201958384333,0.9160919540229885,0.9499521350767969
AdaBoost,0.8660606060606061,0.881074168797954,0.8433292533659731,0.8617886178861789,0.9430367006043543
SVM,0.89,0.8637664567830566,0.923500611995104,0.8926353149955635,0.9361348578599127
LightGBM,0.9121212121212121,0.8636363636363636,0.9767441860465116,0.9167145318782309,0.9519675679329259
